Balance of Allouez township,1465
Balance of Alma township,504
Balance of Almena-District 4 township,155
Balance of Almira township,3394
Balance of Almond town,1187
Balance of Almont township,3976
Balance of Alpena County,18737
Balance of Alto township,297
Balance of Amador County,21541
Balance of Amanda township,2022
Balance of Amboy township,582
Balance of American township,12337
Balance of Americus township,602
Balance of Ames township,1033
Balance of Amherst County,29835
Balance of Amherst town,119572
Balance of Amherst township,5700
Balance of Amite County,10701
Balance of Amity town,1295
Balance of Amity township,389
Balance of Amsterdam town,4232
Balance of Anchor township,140
Balance of Andalusia township,1116
Balance of Anderson County,3588
Balance of Anderson township,1311
Balance of Andover town,768
Balance of Andover township,368
Balance of Andrew County,8773
Balance of Andrews County,4232
Balance of Androscoggin County,48229
Balance of Angelica town,531
Balance of Angelina County,37909
Balance of Ann Arbor charter township,4221
Balance of Annawan township,234
Balance of Anne Arundel County,521177
Balance of Anoka County,5288
Balance of Ansley township,155
Balance of Anson County,14850
Balance of Antelope County,2680
Balance of Antelope township,72
Balance of Antioch township,10835
Balance of Antrim County,17918
Balance of Antrim township,755
Balance of Antwerp town,1199
Balance of Antwerp township,8174
Balance of Apache County,61454
Balance of Appanoose County,4670
Balance of Apple River township,131
Balance of Appleton township,189
Balance of Appling County,13570
Balance of Appomattox County,13345
Balance of Aransas County,12372
Balance of Arapahoe County,91374
Balance of Arcade town,2133
Balance of Arcadia town,5013
Balance of Arcadia township,81
Balance of Archer County,3266
Balance of Archuleta County,10501
Balance of Arcola township,395
Balance of Arenac County,11927
Balance of Arenzville township,342
Balance of Argyle town,3430
Balance of Arispie township,352
Balance of Arkansas County,4816
Balance of Arlington township,167
Balance of Armada township,3698
Balance of Armstrong County,48208
Balance of Armstrong township,1587
Balance of Arnold township,159
Balance of Aroma township,3537
Balance of Aroostook County,52259
Balance of Arrington township,157
Balance of Arrowsmith township,209
Balance of Artesia township,335
Balance of Arthur County,337
Balance of Ascension Parish,97386
Balance of Ash township,5379
Balance of Ashe County,24059
Balance of Ashkum township,762
Balance of Ashland County,27247
Balance of Ashland town,1089
Balance of Ashland township,59
Balance of Ashley County,11180
Balance of Ashley township,273
Balance of Ashmore township,568
Balance of Ashtabula County,49906
Balance of Ashtabula township,5508
Balance of Ashton township,205
Balance of Asotin County,13540
Balance of Assumption Parish,22387
Balance of Assumption township,245
Balance of Astoria township,315
Balance of Atascosa County,26116
Balance of Atchison County,4699
Balance of Atchison township,224
Balance of Athens County,29692
Balance of Athens town,2345
Balance of Athens township,1504
Balance of Atkinson County,4790
Balance of Atkinson township,297
Balance of Atlanta township,230
Balance of Atlantic County,124533
Balance of Atlas township,5998
Balance of Atoka County,9826
Balance of Attala County,11253
Balance of Attica town,5110
Balance of Attica township,2370
Balance of Atwood township,37
Balance of Au Sable town,2155
Balance of Auburn township,671
Balance of Audrain County,8625
Balance of Audubon County,2501
Balance of Audubon township,407
Balance of Auglaize County,17959
Balance of Auglaize township,2317
Balance of Augusta County,72930
Balance of Augusta town,1333
Balance of Augusta township,201
Balance of Aurelius town,2211
Balance of Aurelius township,228
Balance of Aurora County,1368
Balance of Aurora town,7575
Balance of Aurora township,10744
Balance of Austin County,15781
Balance of Autauga County,20818
Balance of Aux Sable township,1539
Balance of Avena township,572
Balance of Avery County,15046
Balance of Avoca town,1293
Balance of Avoca township,395
Balance of Avon town,3706
Balance of Avon township,2701
Balance of Avoyelles Parish,23832
Balance of Ayers township,105
Balance of Ayr township,389
Balance of Babylon town,165176
Balance of Baca County,1323
Balance of Bacon County,7763
Balance of Bacon township,374
Balance of Bailey County,1935
Balance of Bainbridge town,1920
Balance of Bainbridge township,1570
Balance of Baker County,20241
Balance of Baker township,371
Balance of Bala township,289
Balance of Bald Hill township,545
Balance of Baldwin County,95481
Balance of Ball township,1744
Balance of Ballard County,5493
Balance of Ballston town,9309
Balance of Bamberg County,7533
Balance of Bancroft township,171
Balance of Bandera County,20028
Balance of Banks County,14793
Balance of Banks township,1240
Balance of Banner township,252
Balance of Bannock County,11801
Balance of Baraga County,4688
Balance of Baraga township,1725
Balance of Barber County,1272
Balance of Barbour County,8754
Balance of Barnes County,3347
Balance of Barnes township,51
Balance of Barneston township,169
Balance of Barnhill township,587
Balance of Barnstable County,170385
